# radius (m), temperature (K)
1.754027266581299249e+06 4.693036715963306960e+03 2.413601253040325623e+11 5.493114816380840537e+00
1.770892913375350181e+06 4.726624065970539050e+03 2.402499860744518433e+11 5.545933228076810551e+00
1.787758560169401113e+06 4.760488010423248852e+03 2.391314340067110291e+11 5.598751639772779676e+00
1.804624206963452045e+06 4.794627699730133827e+03 2.380045110064111938e+11 5.651570051468749689e+00
1.821489853757502977e+06 4.829042284299890525e+03 2.368692589791534424e+11 5.704388463164718814e+00
1.838355500551553909e+06 4.863730914541218226e+03 2.357257198305389099e+11 5.757206874860688828e+00
1.855221147345604841e+06 4.898692740862815299e+03 2.345739354661687012e+11 5.810025286556657953e+00
1.872086794139655773e+06 4.933926913673378294e+03 2.334139477916439209e+11 5.862843698252627966e+00
1.888952440933706705e+06 4.969432583381605582e+03 2.322457987125657043e+11 5.915662109948597092e+00
1.905818087727757869e+06 5.005208900396193712e+03 2.310695301345350952e+11 5.968480521644567993e+00
1.922683734521808801e+06 5.041255015125841965e+03 2.298851839631532593e+11 6.021298933340537118e+00
1.939549381315859733e+06 5.077570077979247799e+03 2.286928021040213013e+11 6.074117345036507132e+00
1.956415028109910665e+06 5.114153239365108675e+03 2.274924264627402954e+11 6.126935756732476257e+00
1.973280674903961597e+06 5.151003649692122053e+03 2.262840989449114380e+11 6.179754168428446270e+00
1.990146321698012529e+06 5.188120459368986303e+03 2.250678614561357117e+11 6.232572580124415396e+00
2.007011968492063461e+06 5.225502818804399794e+03 2.238437559020143433e+11 6.285390991820384521e+00
2.023877615286114393e+06 5.263149878407059077e+03 2.226118241881483154e+11 6.338209403516354534e+00
2.040743262080165325e+06 5.301060788585662522e+03 2.213721082201388550e+11 6.391027815212323659e+00
2.057608908874216257e+06 5.339234699748907587e+03 2.201246499035870361e+11 6.443846226908293673e+00
2.074474555668267421e+06 5.377670762305493554e+03 2.188694911440939331e+11 6.496664638604263686e+00
2.091340202462318353e+06 5.416368126664116062e+03 2.176066738472607117e+11 6.549483050300233700e+00
2.108205849256369285e+06 5.455325943233474391e+03 2.163362399186884155e+11 6.602301461996202825e+00
2.125071496050420217e+06 5.494543362422265091e+03 2.150582312639782410e+11 6.655119873692172838e+00
2.141937142844471149e+06 5.534019534639188350e+03 2.137726897887312012e+11 6.707938285388141963e+00
2.158802789638522081e+06 5.573753610292938902e+03 2.124796573985484619e+11 6.760756697084111977e+00
2.175668436432573013e+06 5.613744739792215114e+03 2.111791759990311279e+11 6.813575108780081102e+00
2.192534083226623945e+06 5.653992073545717176e+03 2.098712874957803345e+11 6.866393520476051116e+00
2.209399730020674877e+06 5.694494761962141638e+03 2.085560337943971252e+11 6.919211932172020241e+00
2.226265376814725809e+06 5.735251955450185051e+03 2.072334568004826355e+11 6.972030343867990254e+00
2.243131023608776741e+06 5.776262804418545784e+03 2.059035984196380005e+11 7.024848755563959379e+00
2.259996670402827673e+06 5.817526459275923116e+03 2.045665005574642944e+11 7.077667167259929393e+00
2.276862317196878605e+06 5.859042070431012689e+03 2.032222051195626221e+11 7.130485578955898518e+00
2.293727963990929537e+06 5.900808788292513782e+03 2.018707540115341797e+11 7.183303990651868531e+00
2.310593610784980468e+06 5.942825763269123854e+03 2.005121891389799194e+11 7.236122402347837657e+00
2.327459257579031400e+06 5.985092145769540366e+03 1.991465524075010986e+11 7.288940814043806782e+00
2.344324904373082798e+06 6.027607086202462597e+03 1.977738857226987305e+11 7.341759225739778572e+00
2.361190551167133730e+06 6.070369734976586187e+03 1.963942309901740112e+11 7.394577637435747697e+00
2.378056197961184662e+06 6.113379242500610417e+03 1.950076301155279846e+11 7.447396049131717710e+00
2.394921844755235594e+06 6.156634759183230926e+03 1.936141250043618164e+11 7.500214460827686835e+00
2.411787491549286526e+06 6.200135435433147904e+03 1.922137575622765198e+11 7.553032872523656849e+00
2.428653138343337458e+06 6.243880421659057902e+03 1.908065696948732605e+11 7.605851284219625974e+00
2.445518785137388390e+06 6.287868868269659288e+03 1.893926033077531738e+11 7.658669695915595099e+00
2.462384431931439321e+06 6.332099925673650432e+03 1.879719003065173340e+11 7.711488107611565113e+00
2.479250078725490253e+06 6.376572744279726976e+03 1.865445025967669067e+11 7.764306519307534238e+00
2.496115725519541185e+06 6.421286474496588198e+03 1.851104520841029053e+11 7.817124931003504251e+00
2.512981372313592117e+06 6.466240266732933378e+03 1.836697906741265259e+11 7.869943342699473376e+00
2.529847019107643049e+06 6.511433271397457247e+03 1.822225602724388123e+11 7.922761754395443390e+00
2.546712665901693981e+06 6.556864638898859994e+03 1.807688027846409302e+11 7.975580166091412515e+00
2.563578312695744913e+06 6.602533519645838169e+03 1.793085601163339233e+11 8.028398577787381640e+00
2.580443959489795845e+06 6.648439064047090142e+03 1.778418741731189575e+11 8.081216989483351654e+00
2.597309606283846777e+06 6.694580422511313373e+03 1.763687868605971375e+11 8.134035401179321667e+00
2.614175253077897709e+06 6.740956745447204412e+03 1.748893400843695679e+11 8.186853812875291680e+00
2.631040899871948641e+06 6.787567183263463448e+03 1.734035757500372925e+11 8.239672224571259918e+00
2.647906546665999573e+06 6.834410886368787033e+03 1.719115357632015381e+11 8.292490636267229931e+00
2.664772193460050505e+06 6.881487005171874443e+03 1.704132620294633484e+11 8.345309047963199944e+00
2.681637840254101437e+06 6.928794690081420413e+03 1.689087964544238281e+11 8.398127459659169958e+00
2.698503487048152834e+06 6.976333091506126948e+03 1.673981809436840210e+11 8.450945871355139971e+00
2.715369133842203766e+06 7.024101359854687871e+03 1.658814574028452148e+11 8.503764283051109985e+00
2.732234780636254698e+06 7.072098645535802461e+03 1.643586677375083923e+11 8.556582694747079998e+00
2.749100427430305630e+06 7.120324098958168179e+03 1.628298538532746277e+11 8.609401106443048235e+00
2.765966074224356562e+06 7.168776870530483393e+03 1.612950576557451477e+11 8.662219518139018248e+00
2.782831721018407494e+06 7.217456110661445564e+03 1.597543210505210266e+11 8.715037929834988262e+00
2.799697367812458426e+06 7.266360969759752152e+03 1.582076859432033081e+11 8.767856341530958275e+00
2.816563014606509358e+06 7.315490598234102436e+03 1.566551942393931580e+11 8.820674753226926512e+00
2.833428661400560290e+06 7.364844146493192966e+03 1.550968878446916504e+11 8.873493164922896526e+00
2.850294308194611222e+06 7.414420764945722112e+03 1.535328086646999207e+11 8.926311576618866539e+00
2.867159954988662153e+06 7.464219604000386425e+03 1.519629986050191040e+11 8.979129988314836552e+00
2.884025601782713085e+06 7.514239814065885184e+03 1.503874995712502441e+11 9.031948400010804789e+00
2.900891248576764017e+06 7.564480545550915849e+03 1.488063534689945374e+11 9.084766811706774803e+00
2.917756895370814949e+06 7.614940948864174970e+03 1.472196022038529968e+11 9.137585223402744816e+00
2.934622542164865881e+06 7.665620174414361827e+03 1.456272876814267883e+11 9.190403635098714830e+00
2.951488188958916813e+06 7.716517372610173879e+03 1.440294518073169861e+11 9.243222046794683067e+00
2.968353835752967745e+06 7.767631693860309497e+03 1.424261364871247253e+11 9.296040458490653080e+00
2.985219482547018677e+06 7.818962288573464321e+03 1.408173836264511719e+11 9.348858870186623093e+00
3.002085129341069609e+06 7.870508307158337630e+03 1.392032351308973083e+11 9.401677281882593107e+00
3.018950776135120541e+06 7.922268900023627793e+03 1.375837329060643311e+11 9.454495693578561344e+00
3.035816422929171473e+06 7.974243217578032272e+03 1.359589188575533142e+11 9.507314105274531357e+00
3.052682069723222405e+06 8.026430410230247617e+03 1.343288348909654236e+11 9.560132516970501371e+00
3.069547716517273802e+06 8.078829628388974015e+03 1.326935229119016724e+11 9.612950928666471384e+00
3.086413363311324734e+06 8.131440022462907109e+03 1.310530248259632568e+11 9.665769340362441397e+00
3.103279010105375666e+06 8.184260742860745268e+03 1.294073825387512817e+11 9.718587752058411411e+00
3.120144656899426598e+06 8.237290939991185951e+03 1.277566379558667908e+11 9.771406163754381424e+00
3.137010303693477530e+06 8.290529764262926619e+03 1.261008329829109497e+11 9.824224575450349661e+00
3.153875950487528462e+06 8.343976366084667461e+03 1.244400095254848328e+11 9.877042987146319675e+00
3.170741597281579394e+06 8.397629895865105937e+03 1.227742094891895752e+11 9.929861398842289688e+00
3.187607244075630326e+06 8.451489504012934049e+03 1.211034747796262817e+11 9.982679810538259702e+00
3.204472890869681258e+06 8.505554340936858353e+03 1.194278473023960876e+11 1.003549822223422794e+01
3.221338537663732190e+06 8.559823557045569032e+03 1.177473689631000671e+11 1.008831663393019795e+01
3.238204184457783122e+06 8.614296302747770824e+03 1.160620816673392639e+11 1.014113504562616797e+01
3.255069831251834054e+06 8.668971728452153911e+03 1.143720273207149353e+11 1.019395345732213620e+01
3.271935478045884985e+06 8.723848984567423031e+03 1.126772478288280640e+11 1.024677186901810622e+01
3.288801124839935917e+06 8.778927221502272005e+03 1.109777850972798462e+11 1.029959028071407623e+01
3.305666771633986849e+06 8.834205589665401931e+03 1.092736810316713562e+11 1.035240869241004624e+01
3.322532418428037781e+06 8.889683239465504812e+03 1.075649775376036682e+11 1.040522710410601448e+01
3.339398065222088713e+06 8.945359321311283566e+03 1.058517165206779480e+11 1.045804551580198449e+01
3.356263712016139645e+06 9.001232985611433833e+03 1.041339398864952393e+11 1.051086392749795451e+01
