# radius (m), temperature (K)
2.115296825631385946e+04 2.002034828903181278e+03 1.921113430728223920e+08 4.138603838719776690e-02
2.155208086492355505e+04 2.002066162992676254e+03 1.919945778314182460e+08 4.216690703601282120e-02
2.195119347353325065e+04 2.002098053606983740e+03 1.918756307339502871e+08 4.294777568482787550e-02
2.235030608214294625e+04 2.002130499676014551e+03 1.917545018050729036e+08 4.372864433364292286e-02
2.274941869075264185e+04 2.002163500129679278e+03 1.916311910694405138e+08 4.450951298245797716e-02
2.314853129936233745e+04 2.002197053897888281e+03 1.915056985517074466e+08 4.529038163127303146e-02
2.354764390797203305e+04 2.002231159910552378e+03 1.913780242765281498e+08 4.607125028008808576e-02
2.394675651658172865e+04 2.002265817097581930e+03 1.912481682685569525e+08 4.685211892890313312e-02
2.434586912519142425e+04 2.002301024388887981e+03 1.911161305524483323e+08 4.763298757771818742e-02
2.474498173380111984e+04 2.002336780714380438e+03 1.909819111528565884e+08 4.841385622653324172e-02
2.514409434241081544e+04 2.002373085003970345e+03 1.908455100944361687e+08 4.919472487534829602e-02
2.554320695102051104e+04 2.002409936187568292e+03 1.907069274018414319e+08 4.997559352416334338e-02
2.594231955963020664e+04 2.002447333195084639e+03 1.905661630997267663e+08 5.075646217297839768e-02
2.634143216823990224e+04 2.002485274956430203e+03 1.904232172127465904e+08 5.153733082179345198e-02
2.674054477684959784e+04 2.002523760401515574e+03 1.902780897655552626e+08 5.231819947060850629e-02
2.713965738545929344e+04 2.002562788460250886e+03 1.901307807828072011e+08 5.309906811942355365e-02
2.753876999406898904e+04 2.002602358062547410e+03 1.899812902891567647e+08 5.387993676823860795e-02
2.793788260267868463e+04 2.002642468138315053e+03 1.898296183092583418e+08 5.466080541705366225e-02
2.833699521128838023e+04 2.002683117617465086e+03 1.896757648677663505e+08 5.544167406586871655e-02
2.873610781989807583e+04 2.002724305429907417e+03 1.895197299893351793e+08 5.622254271468376391e-02
2.913522042850777143e+04 2.002766030505553090e+03 1.893615136986191869e+08 5.700341136349881821e-02
2.953433303711746703e+04 2.002808291774312693e+03 1.892011160202727616e+08 5.778428001231387251e-02
2.993344564572716263e+04 2.002851088166096588e+03 1.890385369789503515e+08 5.856514866112892681e-02
3.033255825433685823e+04 2.002894418610815364e+03 1.888737765993062556e+08 5.934601730994397417e-02
3.073167086294655383e+04 2.002938282038379839e+03 1.887068349059949517e+08 6.012688595875902847e-02
3.113078347155624942e+04 2.002982677378700373e+03 1.885377119236707687e+08 6.090775460757408277e-02
3.152989608016594502e+04 2.003027603561687556e+03 1.883664076769881248e+08 6.168862325638913013e-02
3.192900868877564062e+04 2.003073059517252204e+03 1.881929221906013787e+08 6.246949190520418443e-02
3.232812129738533258e+04 2.003119044175304680e+03 1.880172554891649783e+08 6.325036055401922486e-02
3.272723390599502818e+04 2.003165556465755571e+03 1.878394075973332524e+08 6.403122920283428610e-02
3.312634651460472378e+04 2.003212595318515696e+03 1.876593785397606194e+08 6.481209785164933346e-02
3.352545912321442302e+04 2.003260159663495415e+03 1.874771683411014378e+08 6.559296650046439470e-02
3.392457173182411498e+04 2.003308248430605317e+03 1.872927770260101557e+08 6.637383514927944206e-02
3.432368434043381421e+04 2.003356860549755993e+03 1.871062046191411018e+08 6.715470379809450330e-02
3.472279694904350617e+04 2.003405994950858258e+03 1.869174511451487243e+08 6.793557244690955066e-02
3.512190955765320541e+04 2.003455650563822246e+03 1.867265166286873519e+08 6.871644109572461190e-02
3.552102216626289737e+04 2.003505826318559230e+03 1.865334010944114029e+08 6.949730974453964538e-02
3.592013477487259661e+04 2.003556521144979115e+03 1.863381045669752657e+08 7.027817839335470662e-02
3.631924738348228857e+04 2.003607733972992719e+03 1.861406270710333288e+08 7.105904704216975398e-02
3.671835999209198781e+04 2.003659463732510858e+03 1.859409686312399805e+08 7.183991569098481522e-02
3.711747260070167977e+04 2.003711709353443666e+03 1.857391292722496092e+08 7.262078433979986258e-02
3.751658520931137900e+04 2.003764469765702188e+03 1.855351090187166333e+08 7.340165298861492382e-02
3.791569781792107096e+04 2.003817743899196785e+03 1.853289078952953815e+08 7.418252163742997118e-02
3.831481042653076292e+04 2.003871530683838046e+03 1.851205259266402721e+08 7.496339028624501855e-02
3.871392303514046216e+04 2.003925829049536560e+03 1.849099631374057233e+08 7.574425893506006591e-02
3.911303564375015412e+04 2.003980637926202917e+03 1.846972195522460938e+08 7.652512758387511327e-02
3.951214825235985336e+04 2.004035956243747933e+03 1.844822951958157420e+08 7.730599623269017451e-02
3.991126086096954532e+04 2.004091782932081742e+03 1.842651900927691460e+08 7.808686488150522187e-02
4.031037346957924456e+04 2.004148116921115161e+03 1.840459042677606046e+08 7.886773353032028311e-02
4.070948607818893652e+04 2.004204957140759007e+03 1.838244377454445362e+08 7.964860217913533047e-02
4.110859868679863575e+04 2.004262302520923413e+03 1.836007905504753590e+08 8.042947082795039171e-02
4.150771129540832771e+04 2.004320151991519424e+03 1.833749627075074315e+08 8.121033947676542519e-02
4.190682390401802695e+04 2.004378504482457174e+03 1.831469542411951721e+08 8.199120812558048643e-02
4.230593651262771891e+04 2.004437358923647480e+03 1.829167651761929393e+08 8.277207677439553379e-02
4.270504912123741815e+04 2.004496714245001158e+03 1.826843955371551216e+08 8.355294542321059503e-02
4.310416172984711011e+04 2.004556569376428342e+03 1.824498453487361073e+08 8.433381407202564239e-02
4.350327433845680935e+04 2.004616923247839850e+03 1.822131146355903149e+08 8.511468272084070363e-02
4.390238694706650131e+04 2.004677774789146270e+03 1.819742034223721325e+08 8.589555136965575100e-02
4.430149955567620054e+04 2.004739122930258191e+03 1.817331117337359190e+08 8.667642001847081223e-02
4.470061216428589250e+04 2.004800966601086202e+03 1.814898395943360627e+08 8.745728866728584572e-02
4.509972477289559174e+04 2.004863304731540893e+03 1.812443870288269818e+08 8.823815731610090696e-02
4.549883738150528370e+04 2.004926136251532625e+03 1.809967540618630648e+08 8.901902596491595432e-02
4.589794999011498294e+04 2.004989460090972443e+03 1.807469407180986702e+08 8.979989461373101556e-02
4.629706259872467490e+04 2.005053275179770480e+03 1.804949470221882164e+08 9.058076326254606292e-02
4.669617520733437414e+04 2.005117580447837554e+03 1.802407729987860620e+08 9.136163191136112416e-02
4.709528781594406610e+04 2.005182374825084253e+03 1.799844186725466251e+08 9.214250056017617152e-02
4.749440042455376533e+04 2.005247657241421166e+03 1.797258840681242645e+08 9.292336920899123276e-02
4.789351303316345729e+04 2.005313426626758655e+03 1.794651692101734281e+08 9.370423785780626624e-02
4.829262564177315653e+04 2.005379681911007538e+03 1.792022741233484447e+08 9.448510650662132748e-02
4.869173825038284849e+04 2.005446422024078402e+03 1.789371988323037326e+08 9.526597515543637484e-02
4.909085085899254773e+04 2.005513645895881837e+03 1.786699433616936505e+08 9.604684380425143608e-02
4.948996346760223969e+04 2.005581352456328204e+03 1.784005077361726463e+08 9.682771245306648344e-02
4.988907607621193893e+04 2.005649540635328322e+03 1.781288919803950489e+08 9.760858110188154468e-02
5.028818868482163089e+04 2.005718209362792777e+03 1.778550961190152764e+08 9.838944975069659205e-02
5.068730129343133012e+04 2.005787357568631933e+03 1.775791201766877174e+08 9.917031839951165328e-02
5.108641390204102208e+04 2.005856984182756605e+03 1.773009641780667305e+08 9.995118704832668677e-02
5.148552651065071404e+04 2.005927088135077383e+03 1.770206281478067636e+08 1.007320556971417341e-01
5.188463911926041328e+04 2.005997668355504857e+03 1.767381121105621755e+08 1.015129243459567954e-01
5.228375172787010524e+04 2.006068723773949387e+03 1.764534160909873545e+08 1.022937929947718427e-01
5.268286433647980448e+04 2.006140253320321563e+03 1.761665401137366593e+08 1.030746616435869040e-01
5.308197694508949644e+04 2.006212255924532201e+03 1.758774842034645379e+08 1.038555302924019513e-01
5.348108955369919568e+04 2.006284730516491891e+03 1.755862483848253191e+08 1.046363989412170126e-01
5.388020216230888764e+04 2.006357676026110994e+03 1.752928326824734509e+08 1.054172675900320461e-01
5.427931477091858687e+04 2.006431091383300327e+03 1.749972371210632920e+08 1.061981362388471073e-01
5.467842737952827883e+04 2.006504975517970479e+03 1.746994617252492309e+08 1.069790048876621547e-01
5.507753998813797807e+04 2.006579327360031812e+03 1.743995065196856558e+08 1.077598735364772159e-01
5.547665259674767003e+04 2.006654145839394914e+03 1.740973715290269554e+08 1.085407421852922633e-01
5.587576520535736927e+04 2.006729429885970603e+03 1.737930567779275179e+08 1.093216108341073245e-01
5.627487781396706123e+04 2.006805178429669240e+03 1.734865622910417616e+08 1.101024794829223719e-01
5.667399042257676047e+04 2.006881390400401642e+03 1.731778880930240452e+08 1.108833481317374331e-01
5.707310303118645243e+04 2.006958064728078398e+03 1.728670342085287571e+08 1.116642167805524666e-01
5.747221563979615166e+04 2.007035200342609642e+03 1.725540006622102857e+08 1.124450854293675278e-01
5.787132824840584362e+04 2.007112796173906645e+03 1.722387874787230492e+08 1.132259540781825752e-01
5.827044085701554286e+04 2.007190851151879315e+03 1.719213946827214062e+08 1.140068227269976364e-01
5.866955346562523482e+04 2.007269364206438695e+03 1.716018222988597751e+08 1.147876913758126838e-01
5.906866607423493406e+04 2.007348334267495375e+03 1.712800703517924845e+08 1.155685600246277450e-01
5.946777868284462602e+04 2.007427760264959488e+03 1.709561388661739826e+08 1.163494286734427924e-01
5.986689129145432526e+04 2.007507641128742307e+03 1.706300278666586578e+08 1.171302973222578536e-01
6.026600390006401722e+04 2.007587975788753738e+03 1.703017373779008687e+08 1.179111659710728871e-01
6.066511650867371645e+04 2.007668763174904825e+03 1.699712674245550036e+08 1.186920346198879483e-01
6.106422911728340841e+04 2.007750002217105930e+03 1.696386180312755108e+08 1.194729032687029957e-01
6.146334172589310765e+04 2.007831691845267642e+03 1.693037892227166891e+08 1.202537719175180569e-01
6.186245433450279961e+04 2.007913830989300777e+03 1.689667810235329866e+08 1.210346405663331043e-01
6.226156694311249885e+04 2.007996418579115698e+03 1.686275934583787918e+08 1.218155092151481655e-01
6.266067955172219081e+04 2.008079453544622993e+03 1.682862265519084632e+08 1.225963778639632129e-01
6.305979216033189005e+04 2.008162934815733479e+03 1.679426803287764192e+08 1.233772465127782603e-01
6.345890476894158201e+04 2.008246861322357290e+03 1.675969548136370480e+08 1.241581151615933076e-01
6.385801737755128124e+04 2.008331231994405471e+03 1.672490500311447084e+08 1.249389838104083689e-01
6.425712998616097320e+04 2.008416045761788382e+03 1.668989660059538186e+08 1.257198524592234301e-01
6.465624259477066516e+04 2.008501301554416841e+03 1.665467027627187371e+08 1.265007211080384497e-01
6.505535520338036440e+04 2.008586998302200982e+03 1.661922603260939121e+08 1.272815897568535248e-01
6.545446781199005636e+04 2.008673134935051849e+03 1.658356387207336724e+08 1.280624584056685722e-01
6.585358042059975560e+04 2.008759710382879575e+03 1.654768379712924361e+08 1.288433270544836196e-01
6.625269302920944756e+04 2.008846723575595206e+03 1.651158581024245918e+08 1.296241957032986669e-01
6.665180563781913952e+04 2.008934173443109103e+03 1.647526991387845278e+08 1.304050643521137143e-01
6.705091824642884603e+04 2.009022058915332082e+03 1.643873611050266027e+08 1.311859330009287894e-01
6.745003085503853799e+04 2.009110378922174277e+03 1.640198440258052349e+08 1.319668016497438368e-01
6.784914346364822995e+04 2.009199132393546506e+03 1.636501479257748425e+08 1.327476702985588841e-01
6.824825607225792191e+04 2.009288318259359357e+03 1.632782728295897543e+08 1.335285389473739315e-01
6.864736868086762843e+04 2.009377935449523648e+03 1.629042187619043887e+08 1.343094075961890066e-01
6.904648128947732039e+04 2.009467982893949511e+03 1.625279857473731339e+08 1.350902762450040540e-01
6.944559389808701235e+04 2.009558459522547992e+03 1.621495738106504083e+08 1.358711448938191013e-01
6.984470650669670431e+04 2.009649364265229224e+03 1.617689829763905406e+08 1.366520135426341487e-01
