# radius (m), temperature (K)
4.200969137273843517e+05 2.338673962005992962e+03 4.930716528957489014e+10 9.965393149008281437e-01
4.283341081141958130e+05 2.341422752573882462e+03 4.923186395210429382e+10 1.016079301467510909e+00
4.365713025010072743e+05 2.344199820380801157e+03 4.915513040413408661e+10 1.035619288034193897e+00
4.448084968878187356e+05 2.347006635719477345e+03 4.907696654232914734e+10 1.055159274600876884e+00
4.530456912746301969e+05 2.349844716089180110e+03 4.899737430327650452e+10 1.074699261167559650e+00
4.612828856614416000e+05 2.352715621005958383e+03 4.891635566334680176e+10 1.094239247734242415e+00
4.695200800482530612e+05 2.355620946932965126e+03 4.883391263855954742e+10 1.113779234300925403e+00
4.777572744350645225e+05 2.358562322330865300e+03 4.875004728445208740e+10 1.133319220867608390e+00
4.859944688218759838e+05 2.361541402828330320e+03 4.866476169595231628e+10 1.152859207434291156e+00
4.942316632086874451e+05 2.364559866512616736e+03 4.857805800725512695e+10 1.172399194000974143e+00
5.024688575954989064e+05 2.367619409340231414e+03 4.848993839170256805e+10 1.191939180567657131e+00
5.107060519823103677e+05 2.370721740667680024e+03 4.840040506166779327e+10 1.211479167134339896e+00
5.189432463691218290e+05 2.373868578902302943e+03 4.830946026844268799e+10 1.231019153701022883e+00
5.271804407559332903e+05 2.377061647273191738e+03 4.821710630212928772e+10 1.250559140267705871e+00
5.354176351427447516e+05 2.380302669722198971e+03 4.812334549153486633e+10 1.270099126834388636e+00
5.436548295295562129e+05 2.383593366915023125e+03 4.802818020407083893e+10 1.289639113401071624e+00
5.518920239163676742e+05 2.386935452372387772e+03 4.793161284565533447e+10 1.309179099967754611e+00
5.601292183031791355e+05 2.390330628721298126e+03 4.783364586061954498e+10 1.328719086534437377e+00
5.683664126899905968e+05 2.393780584066390475e+03 4.773428173161779022e+10 1.348259073101120364e+00
5.766036070768020581e+05 2.397286988481359003e+03 4.763352297954133606e+10 1.367799059667803352e+00
5.848408014636135194e+05 2.400851490620473669e+03 4.753137216343591309e+10 1.387339046234486117e+00
5.930779958504249807e+05 2.404475714450181385e+03 4.742783188042304230e+10 1.406879032801169105e+00
6.013151902372364420e+05 2.408161256100789160e+03 4.732290476562500000e+10 1.426419019367852092e+00
6.095523846240479033e+05 2.411909680838238273e+03 4.721659349209361267e+10 1.445959005934534858e+00
6.177895790108593646e+05 2.415722520155959501e+03 4.710890077074272919e+10 1.465498992501217845e+00
6.260267733976708259e+05 2.419601268986813920e+03 4.699982935028445435e+10 1.485038979067900833e+00
6.342639677844822872e+05 2.423547383035119310e+03 4.688938201716910553e+10 1.504578965634583598e+00
6.425011621712937485e+05 2.427562276228763494e+03 4.677756159552889252e+10 1.524118952201266586e+00
6.507383565581052098e+05 2.431647318291399642e+03 4.666437094712541199e+10 1.543658938767949573e+00
6.589755509449166711e+05 2.435803832434728065e+03 4.654981297130074310e+10 1.563198925334632339e+00
6.672127453317280160e+05 2.440033093170864049e+03 4.643389060493242645e+10 1.582738911901315104e+00
6.754499397185394773e+05 2.444336324244790376e+03 4.631660682239203644e+10 1.602278898467997870e+00
6.836871341053509386e+05 2.448714696686894058e+03 4.619796463550763702e+10 1.621818885034680857e+00
6.919243284921623999e+05 2.453169326985588214e+03 4.607796709352984619e+10 1.641358871601363845e+00
7.001615228789738612e+05 2.457701275380021798e+03 4.595661728310170746e+10 1.660898858168046610e+00
7.083987172657853225e+05 2.462311544272870378e+03 4.583391832823226166e+10 1.680438844734729598e+00
7.166359116525967838e+05 2.467001076763214769e+03 4.570987339027391815e+10 1.699978831301412585e+00
7.248731060394082451e+05 2.471770755299504344e+03 4.558448566790347290e+10 1.719518817868095351e+00
7.331103004262197064e+05 2.476621400452605030e+03 4.545775839710690308e+10 1.739058804434778338e+00
7.413474948130311677e+05 2.481553769808933339e+03 4.532969485116796112e+10 1.758598791001461326e+00
7.495846891998426290e+05 2.486568556983673261e+03 4.520029834066036224e+10 1.778138777568144091e+00
7.578218835866540903e+05 2.491666390754081021e+03 4.506957221344387054e+10 1.797678764134827079e+00
7.660590779734655516e+05 2.496847834312874511e+03 4.493751985466399384e+10 1.817218750701510066e+00
7.742962723602770129e+05 2.502113384641706944e+03 4.480414468675547028e+10 1.836758737268192831e+00
7.825334667470884742e+05 2.507463472004723826e+03 4.466945016944950867e+10 1.856298723834875819e+00
7.907706611338999355e+05 2.512898459562209155e+03 4.453343979978471375e+10 1.875838710401558806e+00
7.990078555207113968e+05 2.518418643104315834e+03 4.439611711212178802e+10 1.895378696968241572e+00
8.072450499075228581e+05 2.524024250904878045e+03 4.425748567816197205e+10 1.914918683534924559e+00
8.154822442943343194e+05 2.529715443695311023e+03 4.411754910696916962e+10 1.934458670101607547e+00
8.237194386811457807e+05 2.535492314758596876e+03 4.397631104499588013e+10 1.953998656668290312e+00
8.319566330679572420e+05 2.541354890143354169e+03 4.383377517611282349e+10 1.973538643234973300e+00
8.401938274547687033e+05 2.547303128997993554e+03 4.368994522164230347e+10 1.993078629801656287e+00
8.484310218415801646e+05 2.553336924024954897e+03 4.354482494039531708e+10 2.012618616368339275e+00
8.566682162283916259e+05 2.559456102055038173e+03 4.339841812871240997e+10 2.032158602935021818e+00
8.649054106152030872e+05 2.565660424741809038e+03 4.325072862050823975e+10 2.051698589501704806e+00
8.731426050020145485e+05 2.571949589376095901e+03 4.310176028731990814e+10 2.071238576068387793e+00
8.813797993888260098e+05 2.578323229820572578e+03 4.295151703835900116e+10 2.090778562635070781e+00
8.896169937756374711e+05 2.584780917564421543e+03 4.280000282056737518e+10 2.110318549201753768e+00
8.978541881624489324e+05 2.591322162898085935e+03 4.264722161867671204e+10 2.129858535768436756e+00
9.060913825492603937e+05 2.597946416208106712e+03 4.249317745527174377e+10 2.149398522335119299e+00
9.143285769360718550e+05 2.604653069392042653e+03 4.233787439085725403e+10 2.168938508901802287e+00
9.225657713228831999e+05 2.611441457393477776e+03 4.218131652392886353e+10 2.188478495468484830e+00
9.308029657096946612e+05 2.618310859857112064e+03 4.202350799104740906e+10 2.208018482035167818e+00
9.390401600965061225e+05 2.625260502903939596e+03 4.186445296691724396e+10 2.227558468601850805e+00
9.472773544833175838e+05 2.632289561026508181e+03 4.170415566446813202e+10 2.247098455168533793e+00
9.555145488701290451e+05 2.639397159104269122e+03 4.154262033494091797e+10 2.266638441735216780e+00
9.637517432569405064e+05 2.646582374539007105e+03 4.137985126797697449e+10 2.286178428301899768e+00
9.719889376437519677e+05 2.653844239510359785e+03 4.121585279171134949e+10 2.305718414868582311e+00
9.802261320305634290e+05 2.661181743351417481e+03 4.105062927286962891e+10 2.325258401435265299e+00
9.884633264173748903e+05 2.668593835044413936e+03 4.088418511686859131e+10 2.344798388001948286e+00
9.967005208041863516e+05 2.676079425836494920e+03 4.071652476792055511e+10 2.364338374568631274e+00
1.004937715190997813e+06 2.683637391975581522e+03 4.054765270914147949e+10 2.383878361135314261e+00
1.013174909577809274e+06 2.691266577566308570e+03 4.037757346266278839e+10 2.403418347701997249e+00
1.021412103964620735e+06 2.698965797546054091e+03 4.020629158974696350e+10 2.422958334268679792e+00
1.029649298351432197e+06 2.706733840781054823e+03 4.003381169090682983e+10 2.442498320835362779e+00
1.037886492738243658e+06 2.714569473282601393e+03 3.986013840602861786e+10 2.462038307402045767e+00
1.046123687125055119e+06 2.722471441543324090e+03 3.968527641449871826e+10 2.481578293968728754e+00
1.054360881511866581e+06 2.730438475993561042e+03 3.950923043533420563e+10 2.501118280535411742e+00
1.062598075898678042e+06 2.738469294577811525e+03 3.933200522731712341e+10 2.520658267102094729e+00
1.070835270285489503e+06 2.746562606451275315e+03 3.915360558913241577e+10 2.540198253668777273e+00
1.079072464672300965e+06 2.754717115796477628e+03 3.897403635950969696e+10 2.559738240235460260e+00
1.087309659059112426e+06 2.762931525759978285e+03 3.879330241736869049e+10 2.579278226802143248e+00
1.095546853445923887e+06 2.771204542509164639e+03 3.861140868196844482e+10 2.598818213368826235e+00
1.103784047832735348e+06 2.779534879409131918e+03 3.842836011306024933e+10 2.618358199935509223e+00
1.112021242219546810e+06 2.787921261319649602e+03 3.824416171104429626e+10 2.637898186502192210e+00
1.120258436606358271e+06 2.796362429012208850e+03 3.805881851713012695e+10 2.657438173068874754e+00
1.128495630993169732e+06 2.804857143707158684e+03 3.787233561350072479e+10 2.676978159635557741e+00
1.136732825379981194e+06 2.813404191730928233e+03 3.768471812348043060e+10 2.696518146202240729e+00
1.144970019766792655e+06 2.822002389293324995e+03 3.749597121170655060e+10 2.716058132768923716e+00
1.153207214153604116e+06 2.830650587384937353e+03 3.730610008430469513e+10 2.735598119335606704e+00
1.161444408540415578e+06 2.839347676794593553e+03 3.711510998906788635e+10 2.755138105902289691e+00
1.169681602927227039e+06 2.848092593246941760e+03 3.692300621563934326e+10 2.774678092468972235e+00
1.177918797314038500e+06 2.856884322660077487e+03 3.672979409569911194e+10 2.794218079035655222e+00
1.186155991700849961e+06 2.865721906523290727e+03 3.653547900315428925e+10 2.813758065602338210e+00
1.194393186087661423e+06 2.874604447394867293e+03 3.634006635433309937e+10 2.833298052169021197e+00
1.202630380474472884e+06 2.883531114520001665e+03 3.614356160818266296e+10 2.852838038735704185e+00
1.210867574861284345e+06 2.892501149568778146e+03 3.594597026647047424e+10 2.872378025302386728e+00
1.219104769248095807e+06 2.901513872494244879e+03 3.574729787398968506e+10 2.891918011869069716e+00
1.227341963634907268e+06 2.910568687510563905e+03 3.554755001876802826e+10 2.911457998435752703e+00
1.235579158021718729e+06 2.919665089191264542e+03 3.534673233228059387e+10 2.930997985002435691e+00
1.243816352408530191e+06 2.928802668687558707e+03 3.514485048966625214e+10 2.950537971569118678e+00
1.252053546795341652e+06 2.937981120066763651e+03 3.494191020994781494e+10 2.970077958135801666e+00
1.260290741182153113e+06 2.947200246770786634e+03 3.473791725625601959e+10 2.989617944702484209e+00
1.268527935568964574e+06 2.956459968194722023e+03 3.453287743605713654e+10 3.009157931269167197e+00
1.276765129955776036e+06 2.965760326385506232e+03 3.432679660138438416e+10 3.028697917835850184e+00
1.285002324342587497e+06 2.975101492860677808e+03 3.411968064907307816e+10 3.048237904402533172e+00
1.293239518729398958e+06 2.984483775547215373e+03 3.391153552099946976e+10 3.067777890969216159e+00
1.301476713116210420e+06 2.993907625840451146e+03 3.370236720432337952e+10 3.087317877535899147e+00
1.309713907503021881e+06 3.003373645783095981e+03 3.349218173173452377e+10 3.106857864102581690e+00
1.317951101889833342e+06 3.012882595364314056e+03 3.328098518170259857e+10 3.126397850669264677e+00
1.326188296276644571e+06 3.022435399938915907e+03 3.306878367873109818e+10 3.145937837235947221e+00
1.334425490663456032e+06 3.032033157766611566e+03 3.285558339361484528e+10 3.165477823802630208e+00
1.342662685050267493e+06 3.041677147671370221e+03 3.264139054370130539e+10 3.185017810369313196e+00
1.350899879437078955e+06 3.051368836820842716e+03 3.242621139315561295e+10 3.204557796935995739e+00
1.359137073823890416e+06 3.061109888625885105e+03 3.221005225322929382e+10 3.224097783502678727e+00
1.367374268210701877e+06 3.070902170760165973e+03 3.199291948253280640e+10 3.243637770069361714e+00
1.375611462597513339e+06 3.080747763299851613e+03 3.177481948731173706e+10 3.263177756636044702e+00
1.383848656984324800e+06 3.090648966983382707e+03 3.155575872172681046e+10 3.282717743202727689e+00
1.392085851371136261e+06 3.100608311591331585e+03 3.133574368813754654e+10 3.302257729769410677e+00
1.400323045757947722e+06 3.110628564446349174e+03 3.111478093738973618e+10 3.321797716336093220e+00
1.408560240144759184e+06 3.120712739033192065e+03 3.089287706910661697e+10 3.341337702902776208e+00
1.416797434531570645e+06 3.130864103738843369e+03 3.067003873198377609e+10 3.360877689469459195e+00
1.425034628918382106e+06 3.141086190712704592e+03 3.044627262408780289e+10 3.380417676036142183e+00
1.433271823305193568e+06 3.151382804846884937e+03 3.022158549315868378e+10 3.399957662602825170e+00
1.441509017692005029e+06 3.161758032876575271e+03 2.999598413691592026e+10 3.419497649169507714e+00
1.449746212078816490e+06 3.172216252600497228e+03 2.976947540336838913e+10 3.439037635736190701e+00
1.457983406465627952e+06 3.182762142221447903e+03 2.954206619112794495e+10 3.458577622302873689e+00
1.466220600852439413e+06 3.193400689806925584e+03 2.931376344972673416e+10 3.478117608869556676e+00
1.474457795239250874e+06 3.204137202869836983e+03 2.908457417993828964e+10 3.497657595436239664e+00
1.482694989626062335e+06 3.214977318069296416e+03 2.885450543410231781e+10 3.517197582002922651e+00
1.490932184012873797e+06 3.225927011031512393e+03 2.862356431645323944e+10 3.536737568569605195e+00
1.499169378399685258e+06 3.236992606290739786e+03 2.839175798345249176e+10 3.556277555136288182e+00
1.507406572786496719e+06 3.248180787350347146e+03 2.815909364412450790e+10 3.575817541702971170e+00
1.515643767173308181e+06 3.259498606863934583e+03 2.792557856039647675e+10 3.595357528269654157e+00
1.523880961560119642e+06 3.270953496936590454e+03 2.769122004744186783e+10 3.614897514836337145e+00
1.532118155946931103e+06 3.282553279546142221e+03 2.745602547402759171e+10 3.634437501403020132e+00
1.540355350333742565e+06 3.294306177084613410e+03 2.722000226286500931e+10 3.653977487969702675e+00
1.548592544720554026e+06 3.306220823019640193e+03 2.698315789096459961e+10 3.673517474536385663e+00
1.556829739107365487e+06 3.318306272676091794e+03 2.674549988999441528e+10 3.693057461103068650e+00
1.565066933494176948e+06 3.330572014137655970e+03 2.650703584664223099e+10 3.712597447669751638e+00
1.573304127880988410e+06 3.343027979268636500e+03 2.626777340298144913e+10 3.732137434236434625e+00
1.581541322267799871e+06 3.355684554855709393e+03 2.602772025684075928e+10 3.751677420803117613e+00
1.589778516654611332e+06 3.368552593869879274e+03 2.578688416217749405e+10 3.771217407369800156e+00
1.598015711041422794e+06 3.381643426848420404e+03 2.554527292945475006e+10 3.790757393936483144e+00
1.606252905428234255e+06 3.394968873396999697e+03 2.530289442602226639e+10 3.810297380503166131e+00
1.614490099815045716e+06 3.408541253811777096e+03 2.505975657650094986e+10 3.829837367069849119e+00
1.622727294201857178e+06 3.422373400821713403e+03 2.481586736317126465e+10 3.849377353636532106e+00
1.630964488588668639e+06 3.436478671450829097e+03 2.457123482636523819e+10 3.868917340203215094e+00
1.639201682975480100e+06 3.450870959000691073e+03 2.432586706486228943e+10 3.888457326769897637e+00
