# radius (m), temperature (K)
9.521692709428647067e+05 3.576736523665160348e+03 3.364845065553023071e+11 3.104754405034285902e+00
9.694814395054623019e+05 3.598578147434263883e+03 3.357461555021585083e+11 3.161204485125818309e+00
9.867936080680597806e+05 3.620781431724013146e+03 3.349958458347137451e+11 3.217654565217350715e+00
1.004105776630657376e+06 3.643345247929196830e+03 3.342336251651456909e+11 3.274104645308883121e+00
1.021417945193254855e+06 3.666268467444600446e+03 3.334595411056322021e+11 3.330554725400415528e+00
1.038730113755852450e+06 3.689549961665012233e+03 3.326736412683511353e+11 3.387004805491948378e+00
1.056042282318450045e+06 3.713188601985218156e+03 3.318759732654802246e+11 3.443454885583480785e+00
1.073354450881047407e+06 3.737183259800005544e+03 3.310665847091973267e+11 3.499904965675012747e+00
1.090666619443645002e+06 3.761532806504161272e+03 3.302455232116801758e+11 3.556355045766545153e+00
1.107978788006242597e+06 3.786236113492472214e+03 3.294128363851066284e+11 3.612805125858078004e+00
1.125290956568840193e+06 3.811292052159725699e+03 3.285685718416545410e+11 3.669255205949610410e+00
1.142603125131437788e+06 3.836699493900708148e+03 3.277127771935015869e+11 3.725705286041143260e+00
1.159915293694035150e+06 3.862457310110206436e+03 3.268455000528257446e+11 3.782155366132675223e+00
1.177227462256632745e+06 3.888564372183007890e+03 3.259667880318046265e+11 3.838605446224207629e+00
1.194539630819230340e+06 3.915019551513899842e+03 3.250766887426161499e+11 3.895055526315740480e+00
1.211851799381827936e+06 3.941821719497668255e+03 3.241752497974381714e+11 3.951505606407272886e+00
1.229163967944425298e+06 3.968969747529100459e+03 3.232625188084483643e+11 4.007955686498805292e+00
1.246476136507022893e+06 3.996462507002983330e+03 3.223385433878246460e+11 4.064405766590337699e+00
1.263788305069620488e+06 4.024298869314104650e+03 3.214033711477447510e+11 4.120855846681870105e+00
1.281100473632218083e+06 4.052477705857250385e+03 3.204570497003864746e+11 4.177305926773402511e+00
1.298412642194815446e+06 4.080997888027206955e+03 3.194996266579277344e+11 4.233756006864934918e+00
1.315724810757413041e+06 4.109858287218763508e+03 3.185311496325462036e+11 4.290206086956467324e+00
1.333036979320010636e+06 4.139057774826704190e+03 3.175516662364197388e+11 4.346656167047999730e+00
1.350349147882608231e+06 4.168595222245818150e+03 3.165612240817261963e+11 4.403106247139533025e+00
1.367661316445205593e+06 4.198469500870891352e+03 3.155598707806433105e+11 4.459556327231064543e+00
